model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
LSTMAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E4,3.19,1920,7680,67,0.09917784725314274,0.7890532496717707,0.10930017223254886,0.8112859477570585,0.06989247311827956,0.8548644338118022,0.22222222222222202,0.037257184876524296,0.7046684666516677
LSTMAD,Genesis,mtsbench,Genesis/Genesis,5.76,3244,9332,125,0.017825900781109908,0.9107334786881218,0.023427707639112116,0.916344717314447,0.0,0.0,0.0,0.0,0.44423582177953025
LSTMAD,SWaT,tsbad,SWaT/171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,3.4,3749,11247,125,0.30334135123728834,0.7262702376303708,0.38399663795478656,0.7749527734804407,0.0510677808727948,0.109009009009009,0.22088353413654574,0.07295932878270764,0.5101368581665796
LSTMAD,SWaT,tsbad,SWaT/172_SWaT_id_2_Sensor_tr_23700_1st_23800.csv,104.72,23700,376219,125,0.7991190895339366,0.9043863963390825,0.7282679981460642,0.8763337540353721,0.01544660846205507,0.026672428015869897,0.13514214119070234,0.011764521400423248,0.16037615860221605
LSTMAD,CreditCard,mtsbench,CreditCard/creditcard,82.28,56804,170885,190,0.10162720839341109,0.9576643436217973,0.16508439285349738,0.9899612465268836,0.17834394904458598,0.17834394904458598,0.16257465162574605,1.2842653231677424e-05,0.5677117946273017
LSTMAD,GHL,mtsbench,GHL/GHL_17_Lev_fault_Temp_corr_seed_57_vars_23,103.82,120000,80001,125,0.042937160141926486,0.9799565942835035,0.0788808226319824,0.9801744288268619,0.0,0.0,0.0,0.0,0.6769515195725772
LSTMAD,GHL,mtsbench,GHL/GHL_18_Lev_fault_Temp_corr_seed_59_vars_23,121.51,120000,80001,125,0.07879746484919128,0.9903509074955609,0.10847879891250686,0.991192073030757,0.0,0.0,0.0,0.0,0.6544109530765322
LSTMAD,GHL,mtsbench,GHL/GHL_19_Lev_fault_Temp_corr_seed_62_vars_23,141.9,120000,80001,125,0.007221837760108142,0.8769865370460809,0.01062539755979653,0.8845965527033031,0.0,0.0,0.0,0.0,0.6676711961638667
LSTMAD,GHL,mtsbench,GHL/GHL_20_Lev_fault_Temp_corr_seed_67_vars_23,76.77,120000,80001,125,0.007225452385226276,0.8759291782672639,0.014148060893540692,0.8874177381809054,0.0,0.0,0.0,0.0,0.6943395669520982
LSTMAD,GHL,mtsbench,GHL/GHL_21_Lev_fault_Temp_corr_seed_73_vars_23,107.86,120000,80001,125,0.0037588006886536303,0.7590536241096042,0.006064931681352587,0.7761150975445695,0.0,0.0,0.0,0.0,0.6800747730128994
LSTMAD,GHL,mtsbench,GHL/GHL_22_Lev_fault_Temp_corr_seed_777_vars_23,191.04,120000,80001,125,0.0033300065070262165,0.7340580285893918,0.004726868008911116,0.7677524219121068,0.0,0.0,0.0,0.0,0.6543294642503301
